date,area_name,category_name,demand_index
2024-02-27,Velachery,Cafe,909
2024-03-28,Velachery,Cafe,918
2024-04-27,Velachery,Cafe,937
2024-05-27,Velachery,Cafe,946
2024-06-26,Velachery,Cafe,941
2024-07-26,Velachery,Cafe,886
2024-08-25,Velachery,Cafe,859
2024-09-24,Velachery,Cafe,857
2024-10-24,Velachery,Cafe,821
2024-11-23,Velachery,Cafe,810
2024-12-23,Velachery,Cafe,822
2025-01-22,Velachery,Cafe,834
2025-02-21,Velachery,Cafe,835
2025-03-23,Velachery,Cafe,881
2025-04-22,Velachery,Cafe,870
2025-05-22,Velachery,Cafe,870
2025-06-21,Velachery,Cafe,865
2025-07-21,Velachery,Cafe,857
2025-08-20,Velachery,Cafe,829
2025-09-19,Velachery,Cafe,800
2025-10-19,Velachery,Cafe,769
2025-11-18,Velachery,Cafe,746
2025-12-18,Velachery,Cafe,738
2026-01-17,Velachery,Cafe,751
2024-02-27,Velachery,Gym,193
2024-03-28,Velachery,Gym,197
2024-04-27,Velachery,Gym,229
2024-05-27,Velachery,Gym,248
2024-06-26,Velachery,Gym,236
2024-07-26,Velachery,Gym,237
2024-08-25,Velachery,Gym,202
2024-09-24,Velachery,Gym,163
2024-10-24,Velachery,Gym,157
2024-11-23,Velachery,Gym,162
2024-12-23,Velachery,Gym,149
2025-01-22,Velachery,Gym,201
2025-02-21,Velachery,Gym,219
2025-03-23,Velachery,Gym,216
2025-04-22,Velachery,Gym,264
2025-05-22,Velachery,Gym,254
2025-06-21,Velachery,Gym,249
2025-07-21,Velachery,Gym,225
2025-08-20,Velachery,Gym,225
2025-09-19,Velachery,Gym,195
2025-10-19,Velachery,Gym,177
2025-11-18,Velachery,Gym,177
2025-12-18,Velachery,Gym,183
2026-01-17,Velachery,Gym,199
2024-02-27,Velachery,Restaurant,629
2024-03-28,Velachery,Restaurant,650
2024-04-27,Velachery,Restaurant,696
2024-05-27,Velachery,Restaurant,690
2024-06-26,Velachery,Restaurant,684
2024-07-26,Velachery,Restaurant,664
2024-08-25,Velachery,Restaurant,656
2024-09-24,Velachery,Restaurant,646
2024-10-24,Velachery,Restaurant,633
2024-11-23,Velachery,Restaurant,632
2024-12-23,Velachery,Restaurant,620
2025-01-22,Velachery,Restaurant,647
2025-02-21,Velachery,Restaurant,688
2025-03-23,Velachery,Restaurant,722
2025-04-22,Velachery,Restaurant,758
2025-05-22,Velachery,Restaurant,760
2025-06-21,Velachery,Restaurant,771
2025-07-21,Velachery,Restaurant,737
2025-08-20,Velachery,Restaurant,722
2025-09-19,Velachery,Restaurant,700
2025-10-19,Velachery,Restaurant,680
2025-11-18,Velachery,Restaurant,695
2025-12-18,Velachery,Restaurant,690
2026-01-17,Velachery,Restaurant,738
2024-02-27,Velachery,Medical Shop,724
2024-03-28,Velachery,Medical Shop,776
2024-04-27,Velachery,Medical Shop,806
2024-05-27,Velachery,Medical Shop,831
2024-06-26,Velachery,Medical Shop,822
2024-07-26,Velachery,Medical Shop,787
2024-08-25,Velachery,Medical Shop,779
2024-09-24,Velachery,Medical Shop,791
2024-10-24,Velachery,Medical Shop,752
2024-11-23,Velachery,Medical Shop,789
2024-12-23,Velachery,Medical Shop,772
2025-01-22,Velachery,Medical Shop,825
2025-02-21,Velachery,Medical Shop,839
2025-03-23,Velachery,Medical Shop,894
2025-04-22,Velachery,Medical Shop,921
2025-05-22,Velachery,Medical Shop,926
2025-06-21,Velachery,Medical Shop,924
2025-07-21,Velachery,Medical Shop,932
2025-08-20,Velachery,Medical Shop,918
2025-09-19,Velachery,Medical Shop,915
2025-10-19,Velachery,Medical Shop,885
2025-11-18,Velachery,Medical Shop,884
2025-12-18,Velachery,Medical Shop,902
2026-01-17,Velachery,Medical Shop,962
2024-02-27,Velachery,Supermarket,144
2024-03-28,Velachery,Supermarket,153
2024-04-27,Velachery,Supermarket,172
2024-05-27,Velachery,Supermarket,205
2024-06-26,Velachery,Supermarket,192
2024-07-26,Velachery,Supermarket,156
2024-08-25,Velachery,Supermarket,159
2024-09-24,Velachery,Supermarket,138
2024-10-24,Velachery,Supermarket,87
2024-11-23,Velachery,Supermarket,86
2024-12-23,Velachery,Supermarket,115
2025-01-22,Velachery,Supermarket,132
2025-02-21,Velachery,Supermarket,141
2025-03-23,Velachery,Supermarket,192
2025-04-22,Velachery,Supermarket,221
2025-05-22,Velachery,Supermarket,212
2025-06-21,Velachery,Supermarket,216
2025-07-21,Velachery,Supermarket,190
2025-08-20,Velachery,Supermarket,179
2025-09-19,Velachery,Supermarket,148
2025-10-19,Velachery,Supermarket,123
2025-11-18,Velachery,Supermarket,109
2025-12-18,Velachery,Supermarket,124
2026-01-17,Velachery,Supermarket,165
2024-02-27,Velachery,Clothing Store,660
2024-03-28,Velachery,Clothing Store,686
2024-04-27,Velachery,Clothing Store,706
2024-05-27,Velachery,Clothing Store,673
2024-06-26,Velachery,Clothing Store,654
2024-07-26,Velachery,Clothing Store,621
2024-08-25,Velachery,Clothing Store,608
2024-09-24,Velachery,Clothing Store,586
2024-10-24,Velachery,Clothing Store,529
2024-11-23,Velachery,Clothing Store,509
2024-12-23,Velachery,Clothing Store,504
2025-01-22,Velachery,Clothing Store,552
2025-02-21,Velachery,Clothing Store,556
2025-03-23,Velachery,Clothing Store,554
2025-04-22,Velachery,Clothing Store,562
2025-05-22,Velachery,Clothing Store,571
2025-06-21,Velachery,Clothing Store,573
2025-07-21,Velachery,Clothing Store,546
2025-08-20,Velachery,Clothing Store,487
2025-09-19,Velachery,Clothing Store,446
2025-10-19,Velachery,Clothing Store,444
2025-11-18,Velachery,Clothing Store,405
2025-12-18,Velachery,Clothing Store,426
2026-01-17,Velachery,Clothing Store,422
2024-02-27,Velachery,Salon,342
2024-03-28,Velachery,Salon,350
2024-04-27,Velachery,Salon,394
2024-05-27,Velachery,Salon,423
2024-06-26,Velachery,Salon,447
2024-07-26,Velachery,Salon,408
2024-08-25,Velachery,Salon,414
2024-09-24,Velachery,Salon,410
2024-10-24,Velachery,Salon,417
2024-11-23,Velachery,Salon,422
2024-12-23,Velachery,Salon,432
2025-01-22,Velachery,Salon,490
2025-02-21,Velachery,Salon,550
2025-03-23,Velachery,Salon,570
2025-04-22,Velachery,Salon,638
2025-05-22,Velachery,Salon,646
2025-06-21,Velachery,Salon,675
2025-07-21,Velachery,Salon,682
2025-08-20,Velachery,Salon,670
2025-09-19,Velachery,Salon,685
2025-10-19,Velachery,Salon,705
2025-11-18,Velachery,Salon,736
2025-12-18,Velachery,Salon,763
2026-01-17,Velachery,Salon,807
2024-02-27,Velachery,Bakery,673
